"-------------------------------------------------------------------------------------------"
" Atmospheric CO2 concentrations (ppm) derived from in situ air measurements                "
" at Mauna Loa, Observatory, Hawaii: Latitude 19.5°N Longitude 155.6°W Elevation 3397m      "
"                                                                                           "
" These data are a compilation of the latest archived monthly MLO dataset and preliminary   "
" values after the end date of the archived monthly dataset. This dataset also includes any "
" preliminary daily and weekly values after the preliminary monthly values.                 "
"                                                                                           "
" Mauna Loa carbon dioxide data from the most recent month is preliminary and subject to    "
" subsequence updates to account for retrospective calibration and quality control.         "
" See scrippsco2.ucsd.edu for data that has passed these routine quality checks and updates."
" The datasets are archived once a month on the scrippsco2.ucsd.edu website and on the      "
" archive database site of the UCSD library library.ucsd.edu/dc/collection/bb3381541w.      "
"                                                                                           "
" Source: R. F. Keeling, S. J. Walker, S. C. Piper and A. F. Bollenbacher                   "
" Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                        "
" Scripps Institution of Oceanography (SIO)                                                 "
" University of California                                                                  "
" La Jolla, California USA 92093-0244                                                       "
"                                                                                           "
" Status of data and correspondence:                                                        "
"                                                                                           "
" These data are subject to revision based on recalibration of standard gases. Questions    "
" about the data should be directed to Dr. Ralph Keeling (rkeeling@ucsd.edu), Stephen Walker"
" (sjwalker@ucsd.edu) and Stephen Piper (scpiper@ucsd.edu), Scripps CO2 Program.            "
"                                                                                           "
" Baseline data in this file through 01-Nov-2022 from archive dated 02-Nov-2022             "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" Please cite as:                                                                           "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and   "
" oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps    "
" Institution of Oceanography, San Diego, 88 pages, 2001.                                   "
"                                                                                           "
" If it is necessary to cite a peer-reviewed article, please cite as:                       "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and       "
" oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,       "
" in "A History of Atmospheric CO2 and its effects on Plants, Animals, and Ecosystems",     "
" editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,                 "
" New York, 2005.                                                                           "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 6 columns.  Columns 1, 3, & 5 are dates as decimal years.    "
" Column 2 (co2_dy), Column 4 (co2_wk), and Column 6 (co2_mn) give daily, weekly and monthly"
" Mauna Loa CO2 concentrations in micro-mol CO2 per mole (ppm), reported on the 2012        "
" SIO manometric mole fraction scale.                                                       "
" Column 2 (co2_dy) gives daily CO2 Concentration values after the last monthly date, and   "
" Column 4 (co2_wk) gives weekly CO2 Concentration values after the last monthly date       "
"                                                                                           "
" The daily averages have been screened to eliminate local influences such as the impacts   "
" of downslope vegetation or volcanic fumaroles on the record.	                            "
" The weekly values have been adjusted to 12:00 hours at middle day of each weekly period   "
" The monthly values have been adjusted to 24:00 hours on the 15th of each month.           "
"                                                                                           "
" Column 1, 3, and 5 are dates as decimal years                                             "
" Column 2 (co2_dy), Column 4 (co2_wk) and Column 6 (co2_mn) below give the daily, weekly,  "
" and monthly Mauna Loa CO2 concentrations in micro-mol CO2 per mole (ppm), reported on the "
" 2012 SIO manometric mole fraction scale.                                                  "
" Missing values are denoted by NaN.                                                        "
"                                                                                           "
" CO2 concentrations are measured on the '12' calibration scale                             "
"                                                                                           "
date_dy,co2_dy,date_wk,co2_wk,date_mn,co2_mn
2021.81,414.09,2021.81,413.97,2021.87,414.82
2021.81,413.75,2021.83,413.64,2021.96,416.43
2021.82,413.92,2021.85,414.32,2022.04,418.01
2021.82,413.51,2021.87,414.77,2022.13,418.99
2021.82,413.61,2021.88,414.91,2022.2,418.45
2021.82,413.56,2021.9,415.59,2022.29,420.02
2021.83,413.63,2021.92,415.77,2022.37,420.77
2021.83,413.74,2021.94,415.91,2022.45,420.68
2021.83,413.22,2021.96,416.58,2022.54,418.68
2021.84,414.05,2021.98,417.36,2022.62,416.76
2021.84,414.09,2022,417.17,2022.71,415.41
2021.84,414.08,2022.02,417.38,2022.79,415.31
2021.85,414.01,2022.04,418.03,NaN,NaN
2021.85,414.18,2022.06,418.33,NaN,NaN
2021.85,414.52,2022.08,419.08,NaN,NaN
2021.85,414.74,2022.1,418.74,NaN,NaN
2021.86,414.61,2022.12,418.9,NaN,NaN
2021.86,414.77,2022.13,418.79,NaN,NaN
2021.86,415.29,2022.15,419.55,NaN,NaN
2021.86,415.44,2022.17,418.35,NaN,NaN
2021.87,414.51,2022.19,418.56,NaN,NaN
2021.87,414.36,2022.21,417.95,NaN,NaN
2021.87,414.39,2022.23,419,NaN,NaN
2021.88,414.6,2022.25,419.91,NaN,NaN
2021.88,414.61,2022.27,419.38,NaN,NaN
2021.88,414.51,2022.29,420.57,NaN,NaN
2021.88,415.11,2022.31,420.11,NaN,NaN
2021.89,415.04,2022.33,419.81,NaN,NaN
2021.89,415.01,2022.35,419.64,NaN,NaN
2021.89,414.95,2022.36,421.36,NaN,NaN
2021.89,415.11,2022.38,420.55,NaN,NaN
2021.9,414.94,2022.4,421.34,NaN,NaN
2021.9,415.21,2022.42,421.18,NaN,NaN
2021.9,415.18,2022.44,420.9,NaN,NaN
2021.91,415.3,2022.46,420.45,NaN,NaN
2021.91,415.56,2022.48,420.16,NaN,NaN
2021.91,416.3,2022.5,419.89,NaN,NaN
2021.91,416.61,2022.52,418.92,NaN,NaN
2021.92,415.73,2022.54,418.47,NaN,NaN
2021.92,415.82,2022.56,418.02,NaN,NaN
2021.92,415.68,2022.58,417.64,NaN,NaN
2021.92,415.96,2022.59,417.42,NaN,NaN
2021.93,415.67,2022.61,416.84,NaN,NaN
2021.94,415.61,2022.63,416.24,NaN,NaN
2021.94,415.85,2022.65,416.11,NaN,NaN
2021.94,415.63,2022.67,415.74,NaN,NaN
2021.94,415.72,2022.69,415.85,NaN,NaN
2021.95,415.69,2022.71,415.75,NaN,NaN
2021.95,416.21,2022.73,414.82,NaN,NaN
2021.95,416.69,2022.75,415.12,NaN,NaN
2021.95,416.77,2022.77,414.85,NaN,NaN
2021.96,416.64,2022.79,415.31,NaN,NaN
2021.96,415.94,2022.81,415.6,NaN,NaN
2021.96,416.38,2022.82,416.07,NaN,NaN
2021.97,416.62,2022.84,416.3,NaN,NaN
2021.97,416.82,2022.86,416.8,NaN,NaN
2021.97,416.87,NaN,NaN,NaN,NaN
2021.98,417.99,NaN,NaN,NaN,NaN
2021.98,417.49,NaN,NaN,NaN,NaN
2021.98,417.08,NaN,NaN,NaN,NaN
2021.98,416.95,NaN,NaN,NaN,NaN
2021.99,417.07,NaN,NaN,NaN,NaN
2021.99,417.59,NaN,NaN,NaN,NaN
2021.99,417.21,NaN,NaN,NaN,NaN
2022,416.95,NaN,NaN,NaN,NaN
2022,416.86,NaN,NaN,NaN,NaN
2022,417.54,NaN,NaN,NaN,NaN
2022,417.48,NaN,NaN,NaN,NaN
2022.01,417.04,NaN,NaN,NaN,NaN
2022.01,417.11,NaN,NaN,NaN,NaN
